0, 10, , 
1, 8, , 
2, 6, , 
3, 6, , 
4, 4, , 
5, 5, , 
6, 12, , 
7, 4, , 
8, 7, , 
9, 8, , 
10, 9, , 
11, 7, , 
12, 3, , 
13, 4, , 
14, 7, , 
15, 4, , 
16, 16, , 
17, 9, , 
18, 8, , 
19, 2, , 
20, 10, , 
21, 10, , 
22, 5, , 
23, 4, , 
24, 6, , 
25, 6, , 
26, 12, , 
27, 1, , 
28, 5, , 
29, 7, , 
30, 8, , 
31, 9, , 
32, 10, , 
33, 9, , 
34, 7, , 
35, 5, , 
36, 7, , 
37, 8, , 
38, 6, , 
39, 7, , 
40, 5, , 
41, 7, , 
42, 12, , 
43, 9, , 
44, 6, , 
45, 11, , 
46, 8, , 
47, 8, , 
48, 6, , 
49, 5, , 
50, 12, , 
51, 6, , 
52, 3, , 
53, 9, , 
54, 5, , 
55, 5, , 
56, 6, , 
57, 8, , 
58, 9, , 
59, 6, , 
60, 3, , 
61, 6, , 
62, 5, , 
63, 7, , 
64, 9, , 
65, 12, , 
66, 6, , 
67, 6, , 
68, 8, , 
69, 8, , 
70, 9, , 
71, 6, , 
72, 3, , 
73, 8, , 
74, 8, , 
75, 4, , 
76, 11, , 
77, 7, , 
78, 14, , 
79, 11, , 
80, 5, , 
81, 11, , 
82, 7, , 
83, 5, , 
84, 10, , 
85, 7, , 
86, 6, , 
87, 8, , 
88, 5, , 
89, 5, , 
90, 9, , 
91, 3, , 
92, 10, , 
93, 8, , 
94, 3, , 
95, 8, , 
96, 7, , 
97, 6, , 
98, 8, , 
99, 4, , 
100, 8, , 
101, 8, , 
102, 15, , 
103, 6, , 
104, 7, , 
105, 8, , 
106, 11, , 
107, 8, , 
108, 8, , 
109, 7, , 
110, 6, , 
111, 6, , 
112, 11, , 
113, 5, , 
114, 6, , 
115, 10, , 
116, 5, , 
117, 4, , 
118, 6, , 
119, 9, , 
120, 5, , 
121, 2, , 
122, 9, , 
123, 5, , 
124, 4, , 
125, 10, , 
126, 11, , 
127, 6, , 
128, 10, , 
129, 6, , 
130, 4, , 
131, 10, , 
132, 4, , 
133, 8, , 
134, 3, , 
135, 9, , 
136, 3, , 
137, 5, , 
138, 9, , 
139, 11, , 
140, 12, , 
141, 6, , 
142, 8, , 
143, 12, , 
144, 3, , 
145, 8, , 
146, 14, , 
147, 11, , 
148, 4, , 
149, 4, , 
150, 8, , 
151, 5, , 
152, 9, , 
153, 6, , 
154, 12, , 
155, 9, , 
156, 2, , 
157, 8, , 
158, 3, , 
159, 6, , 
160, 8, , 
161, 7, , 
162, 5, , 
163, 9, , 
164, 8, , 
165, 7, , 
166, 10, , 
167, 7, , 
168, 7, , 
169, 6, , 
170, 8, , 
171, 9, , 
172, 8, , 
173, 8, , 
174, 7, , 
175, 6, , 
176, 5, , 
177, 7, , 
178, 5, , 
179, 10, , 
180, 10, , 
181, 12, , 
182, 3, , 
183, 8, , 
184, 3, , 
185, 5, , 
186, 8, , 
187, 12, , 
188, 5, , 
189, 2, , 
190, 8, , 
191, 7, , 
192, 4, , 
193, 8, , 
194, 8, , 
195, 7, , 
196, 9, , 
197, 6, , 
198, 8, , 
199, 6, , 
200, 7, , 
201, 7, , 
202, 5, , 
203, 5, , 
204, 11, , 
205, 4, , 
206, 7, , 
207, 8, , 
208, 13, , 
209, 12, , 
210, 11, , 
211, 3, , 
212, 5, , 
213, 8, , 
214, 5, , 
215, 7, , 
216, 14, , 
217, 5, , 
218, 4, , 
219, 5, , 
220, 8, , 
221, 8, , 
222, 7, , 
223, 6, , 
224, 12, , 
225, 9, , 
226, 6, , 
227, 4, , 
228, 4, , 
229, 6, , 
230, 7, , 
231, 8, , 
232, 4, , 
233, 2, , 
234, 5, , 
235, 5, , 
236, 6, , 
237, 5, , 
238, 9, , 
239, 9, , 
240, 12, , 
241, 5, , 
242, 4, , 
243, 7, , 
244, 12, , 
245, 8, , 
246, 9, , 
247, 13, , 
248, 5, , 
249, 7, , 
250, 10, , 
251, 8, , 
252, 8, , 
253, 8, , 
254, 6, , 
255, 9, , 
256, 9, , 
257, 6, , 
258, 7, , 
259, 9, , 
260, 7, , 
261, 5, , 
262, 7, , 
263, 9, , 
264, 10, , 
265, 6, , 
266, 4, , 
267, 5, , 
268, 8, , 
269, 6, , 
270, 8, , 
271, 6, , 
272, 3, , 
273, 16, , 
274, 9, , 
275, 9, , 
276, 8, , 
277, 10, , 
278, 6, , 
279, 6, , 
280, 6, , 
281, 10, , 
282, 5, , 
283, 5, , 
284, 4, , 
285, 7, , 
286, 7, , 
287, 7, , 
288, 10, , 
289, 4, , 
290, 4, , 
291, 5, , 
